评论ID,评论内容,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复总数,ip归属
7408840306018222889,这么多短剧中这部是最好的，演的好。演技各方面特别特别的棒。,141,2024-08-30 16:25:59,橙色的云1,https://www.douyin.com/user/MS4wLjABAAAA_EvRvuuiSuY5Mk7r9ARiCoMV6W0mrDKUg1YpCbHmqdg,,未知,2,广西
7410963509213233954,跟宋惜惜那个女叫什么来着，很符合小说的描写,93,2024-09-05 09:37:36,青山有思,https://www.douyin.com/user/MS4wLjABAAAAYjd20LwQIZDuwDoXvbjnjJb-LoSkdX31uzFbRdm_eZY,,未知,3,广东
7427826038107947786,这女主演员叫什么名字，看过她几部短剧了，不知道她叫什么名字,1,2024-10-20 20:07:35,迷恋🦋,https://www.douyin.com/user/MS4wLjABAAAAnu_kdidERlG5w1lhUdOGs45DBhp31SuKsjw5g7pQ2DE,334420hl,未知,0,贵州
7410424950165799680,这女主演技真不赖，咋没火,34,2024-09-03 22:48:24,用户1559576616911,https://www.douyin.com/user/MS4wLjABAAAAD4yW6HaWbueQBiT70qKVMVggzlBP2KRKw3WcLv0KzzM,39622780422,未知,1,湖北
7434123349574107954,这个女主选的真不错,4,2024-11-06 19:17:36,阿彬哥,https://www.douyin.com/user/MS4wLjABAAAAKy4vWwA_gY1-dX8n83_-ykm6t6lvrzbc1zWWjQgO3V8,,未知,0,江苏
7430740404537049906,这个前面不是打她前夫那人[捂脸],0,2024-10-28 16:45:08,owl,https://www.douyin.com/user/MS4wLjABAAAAAatArtzJoX11CoKm8Jf_tkVJSzcgJCeOIvnHU8zvzus,,未知,0,福建
7427476381028631348,玄甲军,1,2024-10-19 21:30:00,🌼无敌肉肉🌸,https://www.douyin.com/user/MS4wLjABAAAAlqtuKB3obrU_jY9nbGCDws0uoFyml2NVaSsrLCj32JY,,未知,0,广西
7446438288476881704,好想杀了这个女配,1,2024-12-09 23:46:24,好物推荐gogogo,https://www.douyin.com/user/MS4wLjABAAAASFafS5vd9-ZnETAoaCrlCqSZ_ATyGBMDvEnzSgGF_8V43_v0A3_idkjcGhAWQZvK,74332365183,未知,1,甘肃
7408217858419311387,女主这个演员演得太好了。台词功底深厚,86,2024-08-29 00:15:11,大风,https://www.douyin.com/user/MS4wLjABAAAApIDiPr8FPM5UaAjGM1MwPPzqWpkTOu_8-44-UEMLj-lJ3TqhViSGzA6PNKIu9ACP,41131009302,未知,0,广东
7426518171492500234,这是女主会魔法的武侠片！！！,1,2024-10-17 07:38:24,小雨？,https://www.douyin.com/user/MS4wLjABAAAA1CmxDRqlAkJV7qIBKoIb2cX9iVFkPDQ6xYq3WkmxCnU4lsYd8WHVn0ay6pWNUK4p,dybpe2jlsp1f,未知,0,四川
7427469536217367323,跟宋惜惜那个女叫什么来着，很符合小说的描写,0,2024-10-19 21:01:09,唐丽华,https://www.douyin.com/user/MS4wLjABAAAAksni0ePNVpE5WqyFOT4tYnQq4KnGs9u-H3uLcWbnrLqP_XSDIBHQRoo-pfDgIwkx,76967013883,未知,0,贵州
7431981975868769024,你主演的好看,1,2024-11-01 01:04:20,🌸ღ᭄ꦿ 茶山妹࿐💞,https://www.douyin.com/user/MS4wLjABAAAAIc9uR1qI5LhJhJ6AcNB2Rd7to02aJGjKks8G6vQkRC8,,未知,0,广东
7451248825866634010,这群演算短剧里大制作了,0,2024-12-22 22:54:25,我心依旧,https://www.douyin.com/user/MS4wLjABAAAAuwTS8P9INObEW744MS_QKInA6D2W44MJxYAFEs8UVaY,woxinyijiu1185,未知,0,安徽
7426748809143730978,从下集开始我就不能看了[捂脸],0,2024-10-17 22:29:31,卓然鞋材🌈,https://www.douyin.com/user/MS4wLjABAAAAXCZpgNBSNfxPV2IPceEKNZ9hJctRvJh4a1XwdP2-gWUghZKlzbrFQUrEuq_yYzxd,76904515299,未知,0,广东
7428114288005825332,惜惜英姿飒爽[赞][赞][赞],1,2024-10-21 14:57:25,行看从容,https://www.douyin.com/user/MS4wLjABAAAA9gFLV8aoG4SC01Z2-uxdTmYOkBAyDi2qRs-axKQvCZXZWGxdSosE3gf7iM9ivBp5,xingkancongr,未知,0,山西
7415877647584723721,这才是好短剧,12,2024-09-18 15:27:03,丛林孤狼——四海为家,https://www.douyin.com/user/MS4wLjABAAAAIZEjDijFzvUgVO3EbSaWoDvVmgttbQyghCc-NEhXE3o,brxgjljbd,未知,0,安徽
7425484710366774031,要是能拍成电视剧应该不错,3,2024-10-14 12:38:29,用户4624914305657,https://www.douyin.com/user/MS4wLjABAAAAJDa4huwGMu7oNO9ezpKIHYIvWYDAoAUQj6ScZ5l5MPI,dymtlowtp5vf,未知,0,湖南
7430996838562579240,这剧不错，当之无愧的NO1,0,2024-10-29 09:21:05,清风半夜鸣蝉,https://www.douyin.com/user/MS4wLjABAAAAGHvOtumcE21VYtbGmNEhzsMJE9U2_zsS9K0xXxe8gfY,,未知,0,辽宁
7414448219357070090,看过小说，又看短剧。不错哦，惜惜，易肪都演的不错！,10,2024-09-14 18:54:58,毛妮菜,https://www.douyin.com/user/MS4wLjABAAAAWd6rMUVJaTpFglfPz91vGNImBJNxbcmLJd1kzOYZsv2dXTP27bFQRe492ZHRnuWc,maonicai3172,未知,0,河南
7431204263102399269,末将的发型好随意[捂脸][捂脸],0,2024-10-29 22:41:00,用户1024151681442,https://www.douyin.com/user/MS4wLjABAAAAo4ev5P0zxTL28NM6JdgSNbssHHQflM4oVRHIgtoQWHE0si9QzyHPqIMqZKPWv2eQ,68804450940,未知,0,四川
7418844427327636276,一个将军天天轮着一杆枪，总有点不伦不类的，还是配把剑看着舒服点[发呆],0,2024-09-26 15:14:40,随风,https://www.douyin.com/user/MS4wLjABAAAApX_IYqy56Gw9oQRYLfgNElxu7F6mtdxA6oHoxH19fCLoQ2xcoabbY_V2ojGmlP5g,dyqo3g9pqhqh,未知,0,福建
7418202701621805858,这短剧还可以，终于不把观众当土狗了,1,2024-09-24 21:40:47,じ◆ 灬卟洊恠の誓誩ン,https://www.douyin.com/user/MS4wLjABAAAAdPA16qZJ2cVFrPiNZR97UfaZSwYrsDhlFY0x4WZAkPY,biaobujiangu90,未知,0,云南
7419661476619092763,感觉比一般的短剧要好的多，腾讯视频上还收费呢，不会是鹅厂自己拍的吧。,0,2024-09-28 20:03:47,永远的紫霞仙子GYGC,https://www.douyin.com/user/MS4wLjABAAAAQw9eD3uoWAY_p9plx0SofGLi3f994133umtvsvd9RPg,,未知,0,江苏
7413705809887445797,[捂脸]这头套咋还是个小黄毛儿呢[捂脸],9,2024-09-12 18:54:46,小排mio🛸,https://www.douyin.com/user/MS4wLjABAAAApJB7y5FbIGEzxf7QSyncv05g89rxf2nCE0BEwb0hsHQ,,未知,0,吉林
7424866803258802959,女主演技可以，,1,2024-10-12 20:43:56,小菟几蹦蹦跳跳真可爱,https://www.douyin.com/user/MS4wLjABAAAAHYr1_xg7zATta_PtVucACmgT-NTvHBmSQap2MeFE0lUJg9ooY1LdWD23VlkjuJyq,Xiaopingzian,未知,0,广东
7422995971379888936,演宋惜惜的演员叫啥呀,0,2024-10-07 19:39:17,·！,https://www.douyin.com/user/MS4wLjABAAAA_0aLGylHqSsc24nuiCeaq4fPalJJS3zvnhs5wSgzZJc,,未知,0,广西
