评论ID,评论内容,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复总数,ip归属
7485933936468624166,女二的嘴说话时是什么情况，有点出戏,0,2025-03-26 10:09:02,烟波浩淼,https://www.douyin.com/user/MS4wLjABAAAA8-NQz0QAQ9-m9ZNHlqn3SZMbuoE4tVIjXkhzE1H7ic4,,未知,0,北京
7464180032723551011,从女二易昉的所作所为看确是本质轻贱。,0,2025-01-26 19:11:50,臣服,https://www.douyin.com/user/MS4wLjABAAAADTuYzvNkdvUr6mBTd1ioZo-bS6Gy-40GP9P1hwFBI6J24zzZW1JzSvEOsubvTuX8,66608504773,未知,0,河北
7480527606342927130,蠢女人该死,0,2025-03-11 20:29:04,荷花,https://www.douyin.com/user/MS4wLjABAAAAISgIqI6bDewwRPrQKWAef_A01b6hgF9qu_ztWZqrvz5ylXov7y1kvPuoE2jFrbiI,hehua6357048,未知,0,四川
7474143732741423907,都都给我冲上去，冲上去我就有了军功，有了军功我便能获得赏赐！,0,2025-02-22 15:36:13,亡者春生菌,https://www.douyin.com/user/MS4wLjABAAAAXznQuBq8USGoXMwffIq5Pxld9sJLhwkOh1DAhAVi04YXJW3_PtW9vdFg03fUxYro,dyx8ej9v6wbc,未知,0,江苏
7485038738171872039,这个大傻子,0,2025-03-24 00:17:06,自信,https://www.douyin.com/user/MS4wLjABAAAAVs05D0GnSslF8YxbOLwTg-9PPBQL4GdLMZ1mW3Lt_FsCQfpOVi5iJEP2A-SC88bS,dy6dflaghpg4,未知,0,辽宁
7408975603326305035,违抗军令，早死八百回了,580,2024-08-31 01:56:40,张杨,https://www.douyin.com/user/MS4wLjABAAAAcnzviQ707cm87WVV3RSbpcCrtprVPSw8niKXiq6FkAc,,未知,1,河南
7412495135096931087,唉，果然短剧不能带脑子看，丛古至今，谁敢违抗军令，就算立功也是死罪。,410,2024-09-09 12:34:49,无聊了,https://www.douyin.com/user/MS4wLjABAAAAIMrkB9AO9TYCaj7_qPWX3q8kt3Up4aIImgRsGW-Ijh_R8OTrU2qZvYjfZUaHi465,wuliaole7852,未知,5,安徽
7411898833175020340,军令是摆设，五十军棍呢,60,2024-09-07 21:59:24,千初妈咪,https://www.douyin.com/user/MS4wLjABAAAAVuz8MFmX5bEKAF4P285OJIP2GYTMCh110KMc3IEzX3Q,wuniao002,未知,2,河北
7405896898810463012,这个易昉演的好，真的能把人气死[捂脸],916,2024-08-22 17:42:26,老黎,https://www.douyin.com/user/MS4wLjABAAAApX0vLLunxcQ9BkATK_H4CwUsphb2ToONJZznJAk1q3w,,未知,1,重庆
7409345318645056283,我不想评价只想笑[偷笑],268,2024-09-01 01:27:41,余生&好好爱自己,https://www.douyin.com/user/MS4wLjABAAAAnOYRFvVtA36sZSnvMKMH-EtECQqSN2aNhiK8ZnM0cQU,,未知,3,广西
